"№ Д/О";"Наименование счета";"Номер счета";"Сумма комиссии"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТЮМЕНЬЭНЕРГОСБЫТ- ФИЛИАЛ АО ""ЭК ""ВОСТОК""";"40702810600020001440";"150"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТЮМЕНЬЭНЕРГОСБЫТ-ФИЛИАЛ АО ""ЭК ""ВОСТОК""";"40702810200020001442";"2575"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТЮМЕНЬЭНЕРГОСБЫТ- ФИЛИАЛ АО ""ЭК ""ВОСТОК""";"40702810500020001443";"600"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТЮМЕНЬЭНЕРГОСБЫТ-ФИЛИАЛ АО ""ЭК ""ВОСТОК""";"40702810100020001445";"575"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТЮМЕНЬЭНЕРГОСБЫТ- ФИЛИАЛ АО ""ЭК ""ВОСТОК""";"40702810300020002105";"12005"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЦКР ""Концепт-Авто""";"40702810500020001456";"450"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЦКР ""Концепт-Авто""";"40702810800020001457";"600"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ЗАО ""АвтоМакс""";"40702810700020001463";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""РУССКИЙ СТИЛЬ""";"40702810900020000060";"25"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ПАО ""СУЭНКО""";"40702810000020000106";"47050"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СИБИРЬ-ЛАДА""";"40702810500020000208";"275"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ТЮМЕНСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ""";"40702810800020000225";"500"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""БЕЛЫЙ КОНТИНЕНТ""";"40702810500020000279";"1125"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ИНТЕРКОМ-БТ""";"40702810407020000330";"400"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЮКА-ТЮМЕНЬ""";"40702810500020000428";"325"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""НИККО""";"40702810400020000502";"225"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""НИККО-МОТОРС""";"40702810900020000507";"25"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"СРТО";"40703810100020000021";"400"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ОГНИ СИБИРИ""";"40702810400020000560";"450"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ЗАО ""КОМПАНИЯ ФОНД""";"40702810700020000639";"500"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""МАНГУСТ""";"40702810800020000652";"6175"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СВР""";"40702810700020000655";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ПИРАМИДА""";"40702810000020000669";"2875"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СИБРЕМСТРОЙ""";"40702810200020000731";"100"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЗДРАВИЦА""";"40702810900020000769";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"САДОВОДЧЕСКОЕ НЕКОММЕРЧЕСКОЕ ТОВАРИЩЕСТВО ""ЗЕЛЕНАЯ РОЩА""";"40703810400020000349";"225"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СССР""";"40702810900020000785";"775"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""РАДИО СИТИ""";"40702810200020000799";"1100"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ПАО ""СИБИРСКО-УРАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";"40702810100020000828";"325"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТРОО ""КОНГРЕСС ТАТАР ТЮМЕНСКОЙ ОБЛАСТИ""";"40703810700020000052";"50"
